date,bike,category,event,part
16/01/20,4iiii,battery,new,original
30/07/2020,4iiii,battery,replace,A
03/04/2021,4iiii,battery,replace,B
22/10/2021,4iiii,battery,replace,C
19/07/2022,4iiii,battery,replace,D
29/06/23,4iiii,battery,replace,E
29/11/17,cgr,bottom bracket,new,original
29/11/17,cgr,brake pads front,new,original
29/11/17,cgr,cassette,new,original
29/11/17,cgr,chain,new,original
29/11/17,cgr,freehub,new,original
29/11/17,cgr,front gear cable,new,original
29/11/17,cgr,handlebar tape,new,original
29/11/17,cgr,headset,new,original
29/11/17,cgr,jockeys,new,original
29/11/17,cgr,mech hanger,new,original
29/11/17,cgr,rear gear cable,new,original
29/11/17,cgr,rear mudguard,new,original
29/11/17,cgr,rear tube,new,original
29/11/17,cgr,tyre,front,mplus A
29/11/17,cgr,tyre,rear,mplus B
25/10/2020,cgr,bottom bracket,replace,A
22/10/2021,cgr,bottom bracket,clean,
17/04/2022,cgr,bottom bracket,clean,
17/04/2022,cgr,brake pads front,replace,A
15/11/2020,cgr,cassette,clean,
18/03/2021,cgr,cassette,clean,
23/03/2019,cgr,chain,replace,Shim CN-4601
18/03/2021,cgr,chain,replace,KMC X10
15/11/2020,cgr,freehub,clean,
25/03/2021,cgr,front gear cable,replace,Shim steel
25/03/2021,cgr,handlebar tape,replace,Selle smootape
15/11/2020,cgr,headset,clean,
15/11/2020,cgr,jockeys,clean,
18/03/2021,cgr,jockeys,clean,
25/11/2020,cgr,mech hanger,replace,A
11/12/2020,cgr,rear gear cable,replace,Shim steel
15/11/2020,cgr,rear mudguard,clean,
22/01/2021,cgr,rear tube,repair,
22/01/2021,cgr,tyre,to rear,mplus A
22/01/2021,cgr,tyre,to front,mplus B
29/11/2019,cube,cassette,new,original
29/11/2019,cube,chain,new,original
29/11/2019,cube,jockeys,new,original
29/11/2019,cube,rear gear cable,new,original
29/11/2019,cube,rear tube,new,original
29/11/2019,cube,front tube,new,original
29/11/2019,cube,tyre,front,grandsport A
29/11/2019,cube,tyre,rear,grandsport B
17/09/2021,cube,cassette,clean,
17/09/2021,cube,chain,replace,KMC X11
13/09/22,cube,chain,replace,Shim CN-HG601
17/09/2021,cube,jockeys,clean,
20/07/23,cube,rear gear cable,replace,Shim steel
17/09/2021,cube,rear tube,repair,
09/10/22,cube,rear tube,replace,A
17/09/2021,cube,tyre,to rear,grandsport A
02/08/23,cube,tyre,retire,grandsport A
17/09/2021,cube,tyre,retire,grandsport B
17/09/2021,cube,tyre,front,rubino A
02/08/23,cube,tyre,rear,rubino B
01/01/05,scottmb,cassette,new,original
01/01/05,scottmb,chain,new,original
01/01/05,scottmb,jockeys,new,original
28/05/23,scottmb,cassette,clean,
28/05/23,scottmb,chain,replace,Shim CH-HG40
28/05/23,scottmb,jockeys,clean,
