id,name,km_12_13,owned
1,NB minimus MR10,617.8,1
2,old Asics,103.5,0
3,NB MR738,80,0
4,Asics gel-hyperspeed 5,426.7,1
5,Saucony grizzly approach,48,1
6,Saucony progrid peregrine,126,0
7,Asics sky speed 3,92.6,0
8,Mizuno wave musha 4,102.1,1
9,Haglofs gram comp,0,1
10,Brooks Pureflow,0,1
11,NB minimus MR10BO2 ,0,1
12,NB minimus MO80BR (trail),0,1
13,More Mile Cheviots 2,0,1
14,Merrell all out rush,0,1
15,Merrell Bare Access 3,0,1
16,xc spikes,0,1
17,Inov8 mudclaw 265,0,1
18,Mizuno Hitogami 2,0,1
19,Asics gel-hyperspeed 6,0,1
20,Puma FAAS 500v4,0,0
21,Salomon Sense Link,0,1
22,Inov8 Trailroc 245,0,1
23,Inov8 x-talon 190,0,1
24,Inov8 Terraclaw 220,0,1
25,More Mile Cheviot 3,0,1
26,Inov8 X-talon 225,0,1
27,Inov8 Roclite 295,0,1
28,NB 1400v5,0,1
29,NB Vazee Urge,0,1
30,UA Lightning 2,0,1
31,Merrell Momentous,0,1
32,Puma XC,0,1
33,Merrell Bare Access Flex,0,1
